Opponent,Game,Player Name,URL,Week,Date,Game Start,Year,Season
ATL,1,Isaako Aaiui,http://www.nfl.com/player/isaakoaaitui/2531731/gamelogs,1,08/14,0,Game Log: 2015 ,Preseason
ARI,0,Jaed Abbedeis,http://www.nfl.com/player/jaredabbrederis/2543774/gamelogs,1,09/10,0,Game Log: 2017 ,Regular Season
HOU,1,Husai Abdullah,http://www.nfl.com/player/husainabdullah/729/gamelogs,18,01/09,0,Game Log: 2015 ,Postseason
CAR,1,Ibahim Abdulai,http://www.nfl.com/player/ibrahimabdulai/2530820/gamelogs,1,08/13,0,Game Log: 2011 ,Preseason
TB,1,Jo Abbae,http://www.nfl.com/player/jonabbate/2495524/gamelogs,4,08/28,1,Game Log: 2008 ,Preseason
CAR,1,Hamza Abdullah,http://www.nfl.com/player/hamzaabdullah/2506563/gamelogs,1,09/11,0,Game Log: 2011 ,Regular Season
RAI,1,Vice Abbo,http://www.nfl.com/player/vinceabbott/2508148/gamelogs,1,09/04,--,Game Log: 1988 ,Regular Season
PIT,1,Khalid Abdullah,http://www.nfl.com/player/khalidabdullah/2559314/gamelogs,1,08/11,0,Game Log: 2017 ,Preseason
NYJ,1,May Abad,http://www.nfl.com/player/mannyabad/2559393/gamelogs,1,08/12,0,Game Log: 2017 ,Preseason
SEA,1,Isa Abdul-Quddus,http://www.nfl.com/player/isaabdul-quddus/2530658/gamelogs,1,09/11,1,Game Log: 2016 ,Regular Season
WAS,0,Nade Abdallah,http://www.nfl.com/player/naderabdallah/89680/gamelogs,1,08/13,0,Game Log: 2009 ,Preseason
CHI,1,Wale Abecombie,http://www.nfl.com/player/walterabercrombie/2508156/gamelogs,18,12/31,--,Game Log: 1988 ,Postseason
BUF,1,Sam Adams,http://www.nfl.com/player/samadams/2499357/gamelogs,1,09/09,1,Game Log: 2007 ,Regular Season
NYJ,1,David Adams,http://www.nfl.com/player/davidadams/2508198/gamelogs,3,10/04,--,Game Log: 1987 ,Regular Season
DET,1,Royce Adams,http://www.nfl.com/player/royceadams/2533355/gamelogs,1,08/09,0,Game Log: 2014 ,Preseason
HOU,1,Joseph Addai,http://www.nfl.com/player/josephaddai/2495793/gamelogs,1,09/11,1,Game Log: 2011 ,Regular Season
DAL,1,Gaies Adams,http://www.nfl.com/player/gainesadams/2495526/gamelogs,1,09/13,1,Game Log: 2009 ,Regular Season
DAL,1,Mike Adams,http://www.nfl.com/player/mikeadams/2508218/gamelogs,1,08/31,0,Game Log: 1997 ,Regular Season
NYJ,1,Michael Adams,http://www.nfl.com/player/michaeladams/2507266/gamelogs,1,09/08,0,Game Log: 2013 ,Regular Season
ATL,1,Sam Adams,http://www.nfl.com/player/samadams/2508224/gamelogs,1,09/06,--,Game Log: 1981 ,Regular Season
NYJ,1,Pee Adams,http://www.nfl.com/player/peteadams/2508221/gamelogs,1,09/12,--,Game Log: 1976 ,Regular Season
SF,0,Heb Addeley,http://www.nfl.com/player/herbadderley/2508236/gamelogs,15,12/23,--,Game Log: 1972 ,Postseason
GB,0,Mel Agee,http://www.nfl.com/player/melagee/2499364/gamelogs,18,12/31,0,Game Log: 1995 ,Postseason
KC,0,Sco Adams,http://www.nfl.com/player/scottadams/2499358/gamelogs,1,08/31,0,Game Log: 1997 ,Regular Season
TEN,1,Chis Adigupu,http://www.nfl.com/player/chrisadingupu/2530475/gamelogs,1,08/13,0,Game Log: 2011 ,Preseason
DET,0,Louis Age,http://www.nfl.com/player/louisage/2499363/gamelogs,1,09/06,0,Game Log: 1992 ,Regular Season
ARI,0,Pa Afiyie,http://www.nfl.com/player/patafriyie/2561572/gamelogs,1,08/08,0,Game Log: 2019 ,Preseason
IND,1,Geoge Adams,http://www.nfl.com/player/georgeadams/2499356/gamelogs,1,09/01,0,Game Log: 1991 ,Regular Season
ATL,1,Eik Affhole,http://www.nfl.com/player/erikaffholter/2499362/gamelogs,14,12/01,0,Game Log: 1991 ,Regular Season
,--,Daiel Adogo,http://www.nfl.com/player/danieladongo/2542272/gamelogs,10,Bye,--,Game Log: 2015 ,Regular Season
WAS,1,Al Afalava,http://www.nfl.com/player/alafalava/89682/gamelogs,1,08/08,0,Game Log: 2013 ,Preseason
ARI,1,James Adkisso,http://www.nfl.com/player/jamesadkisson/2505333/gamelogs,1,08/11,0,Game Log: 2007 ,Preseason
DEN,0,Sam Adkis,http://www.nfl.com/player/samadkins/2508248/gamelogs,3,11/21,--,Game Log: 1982 ,Regular Season
RAI,1,Kevi Adkis,http://www.nfl.com/player/kevinadkins/2508244/gamelogs,3,10/04,--,Game Log: 1987 ,Regular Season
TB,1,Joh Adickes,http://www.nfl.com/player/johnadickes/2508242/gamelogs,4,10/01,--,Game Log: 1989 ,Regular Season
CIN,0,Jude Adjei-Baimah,http://www.nfl.com/player/judeadjei-barimah/2554332/gamelogs,1,08/11,0,Game Log: 2017 ,Preseason
GB,1,Magee Adkis,http://www.nfl.com/player/margeneadkins/2508245/gamelogs,1,09/17,--,Game Log: 1973 ,Regular Season
ATL,1,Mak Adickes,http://www.nfl.com/player/markadickes/2499361/gamelogs,19,01/04,0,Game Log: 1991 ,Postseason
BUF,1,Spece Adkis,http://www.nfl.com/player/spenceradkins/238455/gamelogs,0,08/03,0,Game Log: 2014 ,Preseason
